﻿Wskaźnik;;Jednostka;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2001;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2002;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2003;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2004;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2005;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2006;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2015;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2016;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2017;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2018;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2019;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2022;2023;2023;2023;2023;2023
;;;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05;06;07;08;09;10;11;12;01;02;03;04;05
"Przeciętne miesięczne nominalne wynagrodzenie brutto w sektorze przedsiębiorstw";;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2385,27;2411,31;2480,44;2471,13;2423,69;2512,62;2506,45;2480,06;2483,82;2538,71;2679,40;2789,08;2470,94;2526,13;2613,67;2569,84;2549,47;2624,72;2647,73;2611,91;2611,01;2658,09;2759,55;3027,52;2663,16;2686,92;2852,35;2785,93;2776,82;2868,97;2893,57;2885,47;2858,09;2950,95;3091,33;3245,14;2975,54;3040,46;3152,96;3144,87;3076,14;3222,47;3234,96;3172,54;3176,84;3247,77;3326,94;3428,01;3215,75;3195,56;3332,65;3294,76;3193,90;3287,88;3361,90;3268,69;3283,18;3312,32;3403,92;3652,40;3231,13;3288,29;3493,42;3398,67;3346,61;3403,65;3433,32;3407,26;3403,68;3440,22;3525,67;3847,91;3391,59;3422,14;3633,54;3597,84;3483,99;3600,47;3611,56;3591,23;3581,94;3617,16;3682,19;4015,37;3666,41;3568,32;3770,66;3719,81;3617,98;3754,48;3700,01;3686,45;3640,84;3718,19;3780,64;4111,69;3680,30;3709,99;3832,81;3830,89;3699,67;3808,63;3830,07;3760,45;3770,91;3834,17;3897,88;4221,50;3805,28;3856,56;4017,75;3976,80;3878,31;3943,01;3964,91;3893,23;3900,49;3980,92;4004,80;4379,26;3942,78;3981,75;4214,14;4123,26;4002,16;4039,70;4095,26;4024,95;4059,19;4110,77;4164,01;4515,28;4101,36;4137,55;4351,45;4313,57;4166,28;4252,19;4291,85;4212,56;4217,96;4259,37;4329,71;4635,77;4277,32;4304,95;4577,86;4489,07;4390,99;4508,08;4501,52;4492,63;4473,06;4574,35;4610,79;4973,73;4588,58;4599,72;4886,56;4840,44;4696,59;4848,16;4825,02;4798,27;4771,86;4921,39;4966,61;5274,95;4931,80;4949,42;5164,53;5186,12;5057,82;5104,46;5182,43;5125,26;5084,56;5213,27;5229,44;5604,25;5282,80;5330,48;5489,21;5285,01;5119,94;5286,00;5381,65;5337,65;5371,56;5458,88;5484,07;5973,75;5536,80;5568,82;5929,05;5805,72;5637,34;5802,42;5851,87;5843,75;5841,16;5917,15;6022,49;6644,39;6064,24;6220,04;6665,64;6626,95;6399,59;6554,87;6778,63;6583,03;6687,81;6687,92;6857,96;7329,96;6883,96;7065,56;7508,34;7430,65;7181,67
"Przeciętne miesięczne nominalne wynagrodzenie brutto w sektorze przedsiębiorstw";;analogiczny okres roku poprzedniego=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;103,6;104,8;105,4;104,0;105,2;104,5;105,6;105,3;105,1;104,7;103,0;108,5;107,8;106,4;109,1;108,4;108,9;109,3;109,3;110,5;109,5;111,0;112,0;107,2;111,7;113,2;110,5;112,9;110,8;112,3;111,8;109,9;111,2;110,1;107,6;105,6;108,1;105,1;105,7;104,8;103,8;102,0;103,9;103,0;103,3;102,0;102,3;106,5;100,5;102,9;104,8;103,2;104,8;103,5;102,1;104,2;103,7;103,9;103,6;105,4;105,0;104,1;104,0;105,9;104,1;105,8;105,2;105,4;105,2;105,1;104,4;104,4;108,1;104,3;103,8;103,4;103,8;104,3;102,4;102,7;101,6;102,8;102,7;102,4;100,4;104,0;101,6;103,0;102,3;101,4;103,5;102,0;103,6;103,1;103,1;102,7;103,4;104,0;104,8;103,8;104,8;103,5;103,5;103,5;103,4;103,8;102,7;103,7;103,6;103,2;104,9;103,7;103,2;102,5;103,3;103,4;104,1;103,3;104,0;103,1;104,0;103,9;103,3;104,6;104,1;105,3;104,8;104,7;103,9;103,6;104,0;102,7;104,3;104,0;105,2;104,1;105,4;106,0;104,9;106,6;106,0;107,4;106,5;107,3;107,3;106,8;106,7;107,8;107,0;107,5;107,2;106,8;106,7;107,6;107,7;106,1;107,5;107,6;105,7;107,1;107,7;105,3;107,4;106,8;106,6;105,9;105,3;106,2;107,1;107,7;106,3;101,9;101,2;103,6;103,8;104,1;105,6;104,7;104,9;106,6;104,8;104,5;108,0;109,9;110,1;109,8;108,7;109,5;108,7;108,4;109,8;111,2;109,5;111,7;112,4;114,1;113,5;113,0;115,8;112,7;114,5;113,0;113,9;110,3;113,5;113,6;112,6;112,1;112,2
"Przeciętne miesięczne nominalne wynagrodzenie brutto w sektorze przedsiębiorstw";;okres poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;101,1;102,9;99,6;98,1;103,7;99,8;98,9;100,2;102,2;105,5;104,1;88,6;102,2;103,5;98,3;99,2;103,0;100,9;98,6;100,0;101,8;103,8;109,7;88,0;100,9;106,2;97,7;99,7;103,3;100,9;99,7;99,1;103,2;104,8;105,0;91,7;102,2;103,7;99,7;97,8;104,8;100,4;98,1;100,1;102,2;102,4;103,0;93,8;99,4;104,3;98,9;96,9;102,9;102,3;97,2;100,4;100,9;102,8;107,3;88,5;101,8;106,2;97,3;98,5;101,7;100,9;99,2;99,9;101,1;102,5;109,1;88,1;100,9;106,2;99,0;96,8;103,3;100,3;99,4;99,7;101,0;101,8;109,0;91,3;97,3;105,7;98,7;97,3;103,8;98,5;99,6;98,8;102,1;101,7;108,8;89,5;100,8;103,3;99,9;96,6;102,9;100,6;98,2;100,3;101,7;101,7;108,3;90,1;101,3;104,2;99,0;97,5;101,7;100,6;98,2;100,2;102,1;100,6;109,4;90,0;101,0;105,8;97,8;97,1;100,9;101,4;98,3;100,9;101,3;101,3;108,4;90,8;100,9;105,2;99,1;96,6;102,1;100,9;98,2;100,1;101,0;101,7;107,1;92,3;100,6;106,3;98,1;97,8;102,7;99,9;99,8;99,6;102,3;100,8;107,9;92,3;100,2;106,2;99,1;97,0;103,2;99,5;99,4;99,4;103,1;100,9;106,2;93,5;100,4;104,3;100,4;97,5;100,9;101,5;98,9;99,2;102,5;100,3;107,2;94,3;100,9;103,0;96,3;96,9;103,2;101,8;99,2;100,6;101,6;100,5;108,9;92,7;100,6;106,5;97,9;97,1;102,9;100,9;99,9;100,0;101,3;101,8;110,3;91,3;102,6;107,2;99,4;96,6;102,4;103,4;97,1;101,6;100,0;102,5;106,9;93,9;102,6;106,3;99,0;96,6
"Przeciętne miesięczne realne wynagrodzenie brutto w sektorze przedsiębiorstw";;analogiczny okres roku poprzedniego=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;103,1;104,3;105,1;103,5;104,5;103,9;104,7;103,7;103,8;103,7;101,8;107,2;106,3;104,6;106,6;106,1;106,6;106,6;107,1;109,1;107,2;108,0;108,3;103,3;107,6;108,8;106,4;108,8;106,4;107,6;107,0;105,0;106,6;105,9;104,0;102,4;105,4;101,9;102,2;101,1;100,3;98,6;100,5;99,5;100,0;98,9;99,0;102,9;97,0;99,9;102,1;100,8;102,5;101,3;100,2;102,3;101,3;101,2;101,1;102,3;101,5;100,7;99,9;101,5;99,3;101,6;101,3;101,2;101,3;100,9;99,8;99,9;103,9;100,1;100,0;99,5;100,3;100,2;98,7;99,0;98,0;99,5;100,0;100,0;98,7;102,8;100,6;102,2;101,8;101,1;102,4;100,9;102,6;102,3;102,5;102,1;103,0;103,3;104,2;103,5;104,6;103,2;103,6;103,7;103,7;104,3;103,2;104,7;105,2;105,0;106,6;104,9;104,1;103,4;104,1;104,1;105,2;104,2;104,7;103,8;104,9;104,8;104,3;105,9;105,2;106,1;105,9;105,7;104,4;103,7;104,0;101,8;102,6;101,8;103,1;102,1;103,4;104,5;103,2;104,8;103,9;105,4;104,1;105,3;105,5;105,5;105,4;106,2;105,3;105,5;105,1;104,6;104,7;105,7;106,3;104,9;106,6;106,2;103,9;104,8;105,3;102,6;104,5;104,0;104,0;103,4;102,7;102,8;102,8;103,0;101,8;98,7;98,5;100,6;100,9;101,3;102,4;101,7;101,9;104,2;102,2;102,1;104,7;105,2;105,0;105,1;103,4;103,8;102,6;101,4;101,9;102,4;100,2;103,0;101,4;101,7;99,7;97,9;100,3;97,3;98,0;96,2;97,3;94,8;97,5;96,1;97,2;97,9;99,5
"Przeciętne miesięczne realne wynagrodzenie brutto w sektorze przedsiębiorstw";;okres poprzedni=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;101,1;102,8;99,2;97,8;103,9;100,0;99,0;99,8;101,9;105,8;104,4;88,5;102,2;103,6;97,7;98,7;103,2;100,8;98,3;99,9;101,8;103,8;109,9;87,7;100,7;105,7;97,2;99,2;103,2;101,1;100,1;98,3;102,6;104,2;104,8;91,2;101,8;103,3;99,4;97,0;104,5;100,4;98,5;99,8;101,8;102,2;103,1;93,4;98,6;103,6;98,2;96,5;102,7;102,2;97,6;100,4;100,8;102,5;107,4;88,0;101,6;105,9;96,9;98,2;101,4;101,1;99,6;99,3;100,7;102,4;108,7;87,1;100,7;105,3;98,4;96,2;103,7;100,6;99,4;99,6;100,3;101,2;108,7;90,7;96,7;105,2;98,1;97,1;103,6;99,0;99,8;98,7;101,7;101,7;108,7;89,5;100,8;103,1;99,5;96,7;102,9;100,3;98,5;100,2;101,5;101,9;108,2;90,0;101,2;104,1;99,0;97,7;101,7;100,8;98,6;100,2;102,1;100,8;109,7;90,3;101,2;105,6;97,4;97,1;100,9;101,5;98,7;101,2;101,2;101,4;108,6;91,3;101,0;105,1;98,8;96,5;101,9;101,2;98,4;100,1;100,5;101,6;106,4;91,9;100,3;106,4;97,8;97,8;102,9;100,1;99,9;99,2;101,8;100,3;107,8;92,1;100,4;106,3;98,6;96,8;103,1;99,6;99,4;99,2;102,7;100,9;106,3;93,7;100,1;103,9;99,3;97,3;100,6;101,5;98,9;99,2;102,2;100,2;106,3;93,6;100,3;102,8;96,4;97,2;102,6;101,9;99,3;100,3;101,4;100,4;108,8;91,6;100,1;105,4;97,1;96,8;102,8;100,5;99,6;99,3;100,2;100,8;109,3;89,8;102,9;103,8;97,5;95,0;100,9;102,9;96,4;100,1;98,2;101,8;106,7;91,8;101,3;105,1;98,3;96,6
"Przeciętne miesięczne realne wynagrodzenie brutto w sektorze przedsiębiorstw";;przeciętna miesięczna 2005=100;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;;;;;;;;;;;;;98,1;100,3;103,9;101,5;100,2;103,4;104,2;102,4;102,3;104,1;108,1;118,8;104,2;104,9;110,9;107,8;106,9;110,3;111,5;111,6;109,7;112,6;117,3;122,9;112,1;114,1;117,9;117,2;113,7;118,8;119,3;117,5;117,3;119,4;122,0;125,8;117,5;115,9;120,1;117,9;113,8;116,9;119,5;116,6;117,1;118,0;121,0;130,0;114,4;116,2;123,1;119,3;117,2;118,8;120,1;119,6;118,8;119,6;122,5;133,2;116,0;116,8;123,0;121,0;116,4;120,7;121,4;120,7;120,2;120,6;122,0;132,6;120,3;116,6;122,7;120,4;116,9;121,1;119,9;119,7;118,1;120,1;122,1;132,7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Przeciętne miesięczne realne wynagrodzenie brutto w sektorze przedsiębiorstw";;przeciętna miesięczna 2010=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99,8;99,4;98,7;99,4;101,8;110,7;96,4;97,1;102,2;100,6;96,8;100,4;101,0;100,4;100,0;100,3;101,5;110,3;100,0;96,9;101,9;100,0;97,1;100,6;99,6;99,4;98,1;99,8;101,5;110,3;98,7;99,5;102,6;102,1;98,7;101,6;101,9;100,4;100,6;102,1;104,0;112,5;101,3;102,5;106,7;105,6;103,2;105,0;105,8;104,3;104,5;106,7;107,6;118,0;106,7;108,0;114,0;111,0;107,8;108,8;117,2;115,3;115,4;116,0;117,9;125,4;115,2;115,5;122,9;120,2;117,6;121,0;121,1;121,0;120,0;122,2;122,6;132,2;115,2;115,5;122,9;120,2;117,6;121,0;121,1;121,0;120,0;122,2;122,6;132,2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Przeciętne miesięczne realne wynagrodzenie brutto w sektorze przedsiębiorstw";;przeciętna miesięczna 2015=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95,6;96,7;102,1;99,4;96,5;97,4;98,9;97,6;98,8;100,0;101,4;110,1;100,5;101,5;106,7;105,4;101,7;103,6;104,8;103,1;103,2;103,7;105,4;112,1;103,0;103,3;109,9;107,5;105,1;108,1;108,2;108,1;107,2;109,1;109,4;117,9;108,6;109,0;115,9;114,3;110,6;114,0;113,5;112,8;111,9;114,9;115,9;123,2;115,4;115,5;120,0;119,2;116,0;116,7;118,5;117,2;116,3;118,9;119,1;126,6;118,5;118,9;122,2;117,8;114,5;117,5;119,7;118,9;119,3;121,0;121,5;132,2;121,1;121,2;127,7;124,0;120,0;123,4;124,0;123,5;122,6;122,8;123,8;135,3;121,5;125,0;129,8;126,6;120,3;121,4;124,9;120,4;120,5;118,3;120,4;128,5;118,0;119,5;125,6;123,5;119,3
